Vowel,Word,Speaker,Number,Episode,Turn,Text,Text_Subset,Text_Caption,Start,End
æ,hand,Lauren,4,84,36,"There's this really wonderful corpus study from Kensy Cooperrider -- who a lot of this work comes from because he did his entire PhD thesis on pointing -- where if you're pointing towards yourself as a physical thing, you will use your index finger, but if you're talking about yourself as an identity, as a human, embodied, living creature with a mind, the mental you, you're more likely to do it with an open hand.",ly to do it with an open hand.,"living creature with a mind, the mental you, you're more likely to do it with an open hand.",463200.0,470939.0
æ,hand,Lauren,5,84,72,"Yeah, they make use of the fact that they are visual languages, and they make use of this human tendency to point. A lot of sign languages you'll see their pronoun system, the 'I' and the 'you' and the 'we,' is done through a kind of pointing. For example, Auslan and BSL, as the sign languages I know best, will use an index finger point. But even though it looks like an English pointing gesture that you'll commonly use as an English speaker, there are differences. There's this really nice study that a group of sign language researchers led by Jordan Fenlon and a bunch of gesture researchers -- again, Kensy Cooperrider's name comes up -- worked together to look at signed and spoken uses of pointing. You see these really consistent differences as well as these similarities. So, even though you see a lot of index pointing in both, for a signed language, the index finger tends to get used a lot more consistently. We talked before about how, as an English speaker, you might use a thumb to point behind you or an open hand. In a signed language, because it's a pronoun and it's part of the grammar, the form is much more consistent in how it's used, but it's also a little bit reduced. The index finger isn't always as extended. It's not held for as long. It's much more reduced because it is a part of the grammar that people are using all the time. It's this really nice thing that shows pointing and signed pronouns use the same resource but in slightly different ways.",nt behind you or an open hand. In a signed languag,"you might use a thumb to point behind you or an open hand. In a signed language, because",977040.0,981719.0
æ,laugh,Gretchen,1,10,97,"Yeah, yeah, you become kind of more willing to laugh at yourself.", kind of more willing to laugh at yourself.,kind of more willing to laugh at,1400910.0,1401929.0
æ,laugh,Gretchen,2,18,5,"So our first Patreon episode was all about the sounds of swearing and swearing in different languages, and this time we're talking about the grammar of swearing, and we already have reports that it made somebody laugh out loud in public, so maybe don't listen to it around young children or in public, because you might have to explain to them why you're laughing so hard. You can go check that out at patreon.com/lingthusiasm.","ts that it made somebody laugh out loud in public,","already have reports that it made somebody laugh out loud in public, so",50691.0,54799.0
æ,laugh,Gretchen,3,58,117,"Not only that, but this is actually the sound that in English used to be represented with the sequence G-H. This is in words like 'knight' or 'laugh' or 'enough' or also a certain person's surname who you may have met.", words like 'knight' or 'laugh' or 'enough' or als,This is in words like 'knight' or 'laugh' or 'enough' or also,1719200.0,1724479.0
æ,laugh,Gretchen,4,33,9,Just so you can laugh at how I don't have a cot/caught distinction and so I can't actually do the vowel that you do in your name.,Just so you can laugh at how I don't have,that. G: Just so you can laugh at how I don't,66840.0,69258.0
æ,laugh,Gretchen,5,3,82,"Like, 'Oh my god, seriously this is literally what linguistics is.' But i get that she wasn't supposed to be like a smart mouthing, wisecracking person. There's another moment in the film where she uses this analogy of the kangaroo story. So the military guy is saying 'Why do we need to learn learn basic verbs and nouns? Why can't we just ask them why are they here?' And she's like, 'Look, we have to build up to that and we have to understand their response. Because when Captain Cook was arriving in Australia he asked one of the Australians 'What is this?' and the person said 'kangaroo' which it turns out just means 'I don't know'.' So what I've heard is that this was a line in the script that Jessica Coon looked at and she's like, 'This story is false.' But the producers were like, 'Well, we still want to have the story in because it makes this point really well.' And so what they did is they added in a line where the military guy would leave and then physicist guy would be like, 'Great story!' and she'd be like 'Yeah, it's false.' That turned into kind of a laugh line for the audience.",at turned into kind of a laugh line for the audien,That turned into kind of a laugh line,1074960.0,1076849.0
æ,laugh,Lauren,1,75,41,Kids can laugh and cry.,Kids can laugh and cry.,L: Kids can laugh and cry.,525560.0,527759.0
æ,laugh,Lauren,2,33,8,That is gonna be so amazing. I may have to listen to the audiobook just to laugh at that.,to the audiobook just to laugh at that.,L: That is gonna be so amazing. I may have to listen to the audiobook just to laugh at,62510.0,66839.0
ɑ,ball,Gretchen,1,82,85,Then the kid on the bike runs into another group of three kids. One of them has a little paddle thing that has an elastic thing with a ball on the end., an elastic thing with a ball on the end.,One of them has a little paddle thing that has an elastic thing with a ball on the end.,1169280.0,1173919.0
ɑ,ball,Gretchen,2,68,90,"It refers to the game that's found in pubs sometimes where you have a football game that you can play on a table where you twiddle the little knobs, which in English is known as 'foosball,' but that's actually borrowed from German 'Fußball,' which refers to just football in general.",mes where you have a football game that you can pl,that's found in pubs sometimes where you have a football game that you can play on a table,941360.0,947119.0
ɑ,ball,Gretchen,3,34,73,"Exactly. What I liked about this is that these unnamed gestures -- so the gestures you use to be like, 'Okay, here's the path that I took to get here,' or, 'Here's the motion that it takes to catch a frisbee or to throw a ball of this particular size and weight' and something like this -- those gestures also have a large degree of latitude for variation.", a frisbee or to throw a ball of this particular s,the motion that it takes to catch a frisbee or to throw a ball of this particular size,1031260.0,1035059.0
ɑ,ball,Gretchen,4,29,214,"Or they could have another type of structure which I've started thinking about, which is, do you know those little plastic balls and beads and rods that you can get from, like, chemistry sets?",now those little plastic balls and beads and rods ,"is, do you know those little plastic balls and beads and rods that you can get from,",2053980.0,2058639.0
ɑ,ball,Gretchen,5,29,218,"Yeah, it's been a long time since I did chemistry as well. But I was thinking about it because different types of atoms like oxygen and hydrogen have different ways of connecting with each other that are characteristic of those atoms. You can make these kinds of connections between those little balls in a way that's similar to how you can make connections between how nouns connect onto verbs to form sentences.",ons between those little balls in a way that's sim,those atoms. You can make these kinds of connections between those little balls,2084200.0,2088609.0
ɑ,ball,Lauren,1,28,40,"It works as an analogy for me because I'm very unrealistic about it. You can invest a lot of effort in learning, yourself, how to play the game really well, but you can only ever really learn a couple of codes of football, right? But, if you learn how to read a group of people and how they move and what the rules are, there's more chance that you could potentially become really observant about how rugby works. And, again, this is a terrible analogy because I'm not interested in rugby or football but...","a couple of codes of football, right? But, if you ",couple of codes of football right but if,400479.0,403089.0
ɑ,ball,Lauren,2,82,86,And they're bouncing the paddleball thingamajig.,ey're bouncing the paddleball thingamajig.,L: And they're bouncing the paddleball thingamajig.,1173920.0,1176339.0
ɑ,ball,Lauren,3,68,85,All of these examples are really great reminders that you can't just eyeball a loanword and take it for granted because it's not always quite that simple.,s that you can't just eyeball a loanword and take ,reminders that you can't just eyeball a loanword and take it for granted because,909760.0,914879.0
ɑ,ball,Lauren,4,68,91,"Ah, we just call it 'German football.' Wow. That is definitely a borrowing that had a shift.",just call it 'German football.' Wow. That is defin,"L: Ah, we just call it 'German football.' Wow. That is definitely a borrowing that had a shift.",956640.0,962879.0
ɑ,ball,Lauren,5,29,51,"We've already talked a little bit in Episode 9 about constituency, which is this idea that language isn't just a random throwing-together of words. It's not just a bucket of balls. It's actually got this structure, and if you have one word, it comes with these other words. Verbs are a really great example of constituency and how just one verb can bring all these other things to the sentence.",t's not just a bucket of balls. It's actually got ,"words. It's not just a bucket of balls. It's actually got this structure, and if",501259.0,506248.0
ɑ,father,Gretchen,1,63,71,"Sometimes you can discover new things while you're doing that because you're like, oh, actually there's also this relationship. I've definitely been that person on my phone in the pub pulling up Etymonline being like, ''Fish' -- I bet that's related to 'Pisces' because that's probably the same P-to-F sound change that's in 'pater -- father,' 'foot -- ped.'' Sure enough, Old English 'fish,' Proto-Germanic 'fiskaz,' perhaps from Proto-Indo-European root '*pisk-,' 'a fish.'","ange that's in 'pater -- father,' 'foot -- ped.'' ","'pater -- father,' 'foot -- ped.'' Sure enough, Old English 'fish,' Proto-Germanic 'fiskaz,' perhaps",1371280.0,1379279.0
ɑ,father,Gretchen,2,53,45,"Meanwhile, I'm just sitting here with my tomato plants being like, 'Grow! Grow!' That's one of the things that's really interesting about a part in Ella Enchanted. At one point she gets a letter from her father, and then she's like, 'Wait, I gonna make this other person read it and summarize it to me' because if there are commands in it then she could summarize what they are in ways that aren't actually commands. In another context, she's interacting with a character who she doesn't really like but because that character is only saying, 'I wish you would do this,' or 'Why can't you stop doing that,' she doesn't actually have to obey that person because that character is still trying to be polite. Imperatives have this interesting interaction with politeness and with how we relate to each other as people -- who is it okay to give a direct imperative to, and what level of politeness does that have?","e gets a letter from her father, and then she's li","interesting about a part in Ella Enchanted. At one point she gets a letter from her father,",458189.0,464258.0
ɑ,father,Gretchen,3,27,97,"Yeah, about 60 years ago, the American anthropologist G.P. Murdock did this survey of over 500 cultural groups around the world. He found that about half of societies use some sort of combination of /mə/, /mɛɪ/, /na/, /nɛɪ/, /noʊ/ to mean 'mother.' And another half, not necessarily the exact same societies, uses some combination of /pə/, /poʊ/, /ta/, or /toʊ/ to mean 'father.' So /mama/, /mɛɪmɛɪ/, /nana/, /nɛɪnɛɪ/, /papa/, /tata/ -- these kinds of things. He's like, 'This is a weird coincidence. Why?'"," /ta/, or /toʊ/ to mean 'father.' So /mama/, /mɛɪm",father.,638510.0,639509.0
ɑ,father,Gretchen,4,3,70,"It's also in the short story. So I walked in already knowing it and I still got a lot out of the movie. So at the beginning of the film we see a short montage of her with a child you know having a baby and the child growing up and then the child ultimately dying at quite a young age - I think around 11 - of some terrible illness. And so I think people are supposed to assume that this has already happened before the events of the movie even start. Because we see her with a child, but we don't see each a father for the child. So we just see her daughter. And then as she starts decoding the alien language she starts getting what we think are flashbacks but in the end are actually flash-forwards into her life with the child. And at the end she makes the decision that, yes, she's gonna go ahead and get with this guy, even though she knows that it's going to end up in divorce and separation and then ultimately the child dying. So she decides that the good points of that are worth the sad points.", but we don't see each a father for the child. So ,"her with a child, but we don't see each a father for",889980.0,891629.0
ɑ,father,Gretchen,5,51,38,There's another genre of small talk which I think of as the 'Who's your father' genre.,nk of as the 'Who's your father' genre.,"first, thank you so much to everybody who helped us celebrate our anniversary month",26840.0,30409.0
ɑ,father,Lauren,1,27,50,"Yeah, when I'm in Nepal, when people ask about my family, I suddenly have to start thinking about -- for example, aunts and uncles. It varies depending upon whether they're your uncles on your dad's side or your uncles on your mother's side. In Syuba, your 'Ao' is your father's brother, and your 'Ashang' is your mother's brother. So your uncles on each side have different names. And then, in terms of your aunts, there's actually a whole bunch of different terms. The aunts on your mother's side all get called 'Ama,' which is the same as the word for mother --","Syuba, your 'Ao' is your father's brother, and you","is your father's brother, and your 'Ashang' is your mother's brother. So your uncles",465800.0,471168.0
ɑ,father,Lauren,2,27,62,"Yeah, so your aunts on your mother's side are your 'Ama,' but if it's your father's brother's wife it's 'Tsitsi.' Whereas, your aunts who are your father's relatives -- so younger sisters -- are 'Ani.'"," 'Ama,' but if it's your father's brother's wife i","father's brother's wife it's 'Tsitsi.' Whereas, your aunts who are your father's",620860.0,629059.0
ɑ,father,Lauren,3,27,64,"And so, you know who was married into the family as opposed to who is a sister of your father.", who is a sister of your father.,father.,638510.0,639509.0
ɑ,father,Lauren,4,27,66,"Because aunts can marry into families or marry out of families. In this culture, it's the women who move house when they get married. So your uncles are always around whether they're your father's brothers or your mother's brothers. Whereas, women aren't bringing uncles into the house, necessarily. They're less important to you.",und whether they're your father's brothers or your,father.,638510.0,639509.0
ɑ,father,Lauren,5,27,134,"There are complex words that are encoded into the language that aren't encoded into ours, but there are also examples in Australian languages where these things get encoded into the grammar as well. In Kayardild there is -- coming back to this harmonic-generations thing. I will use a different pronoun if I'm talking about me and someone in my own generation, or me and my grandparent, compared to me and my father, or my child, because the father or child are not -- they're disharmonic generations. Whereas, my siblings and my grandparents and my grandchildren are my harmonic generations. So there are entirely different pronoun forms depending on whether I'm referring to a group of people in my harmonic generations or non-harmonic generations. There's a whole paper on this that I really love from Nick Evans back in 2003 that I'll link to. The thing I really love about it is that Evans refers to this kind of phenomenon as 'kintax.'","t, compared to me and my father, or my child, beca","or me and my grandparent, compared to me and my father, or my child, because the father",1576240.0,1582319.0
ɑ,honorific,Gretchen,1,53,91,"Some places you can use imperatives politely as well. But there's often this additional social context. I think that there's also -- we were talking about earlier about like, well, you have this polite imperative or you have this plural imperative or this honorific imperative, and in a lot of the European languages that have these polite second-person pronouns, 'vous' or 'sei' or 'Usted' or something like that, they also figured out some sort of imperative there which is borrowed from some other bit of the verbal thing there because like, 'Oh, we need an imperative, but this was actually originally a third-person' or a plural or something, and you have to grab it from somewhere else. Imperatives start you in into, 'Okay, what do people do in this language and in this particular culture when they're addressing somebody? What are the ways you address somebody? What are the ways you don't address somebody? Which things are polite? Which things are impolite? What are all the things you can do?' There's this word in French that I don't actually know what it means so much as I know how it's used, which is just the word you add to something to make it a polite imperative.","lural imperative or this honorific imperative, and","well, you have this polite imperative or you have this plural imperative or this honorific",1469720.0,1473929.0
ɑ,honorific,Gretchen,2,49,10,You get access to the honorifics bonus as well as 43 other bonus episodes and new bonus episodes every month by going to patreon.com/lingthusiasm. [Music],You get access to the honorifics bonus as well ,G: You get access to the honorifics bonus as well as 43 other bonus episodes and new,155470.0,160339.0
ɑ,honorific,Gretchen,3,43,38,"Because the idea is that honorifics, everyone knows that they change in a given social interaction and people can switch to using a different form of 'you' to address somebody or a different form of even 'I' -- like Japanese has all these different forms of 'I' depending on how polite you wanna be.","Because the idea is that honorifics, everyone know","binary models that we've looked at before. G: Because the idea is that honorifics, everyone",1175070.0,1180289.0
ɑ,honorific,Gretchen,4,50,140,"I can be found as @GretchenAMcC on Twitter, my blog is AllThingsLinguistic.com, and my book about internet language is called Because Internet -- now in paperback! Have you listened to all the Lingthusiasm episodes and you wish there were more? You can get access to 45 bonus episodes to listen to right now at patreon.com/lingthusiasm or follow the links from our website. Patrons also get access to our Discord chatroom to talk with other linguistics fan and other rewards, as well as helping keep the show ad-free. Recent bonus topics include pangrams, honorifics, and a behind-the-scenes episode on writing Crash Course Linguistics. Can't afford to pledge? That's okay, too. We also really appreciate it if you can recommend Lingthusiasm to anyone who needs a little more linguistics in their life, especially in this our anniversary month.","topics include pangrams, honorifics, and a behind-","as well as helping keep the show ad-free. Recent bonus topics include pangrams, honorifics, and a",2441600.0,2446479.0
ɑ,honorific,Lauren,1,10,136,"Also politeness. So, like, who to be polite to and who you can be informal with. So for example, in Nepali you have different verb politeness registers for, like, a more honorific one if you're talking to someone who's more senior than you, and a much more informal one for friends, and an even more informal one that is, like, it would be so rude for me to learn it in a Nepali context that I've just never bothered to because that makes that easier. And at the start, learning who to say those things to -- and now, like, I know with some of the younger kids I know I'll occasionally use those more honorific ones if I want to be like, 'Oh, I'm treating you as an adult now,' like, 'You're growing up,' or if I want to bring someone in a bit more conspiratorially, I'll use the informal one -- and so knowing how to navigate those social features of the language, not just conjugating the verbs for those.","isters for, like, a more honorific one if you're t",more honorific one if you're talking to,1847980.0,1849989.0
ɑ,honorific,Lauren,2,53,58,"There's the suffix in Yolmo, and then there's a whole different form if you're being very polite in the honorific register. We've talked about honorifics in a bonus episode before, and I've talked about that vocabulary there. Again, that's that thing about giving a command is not necessarily impolite, you just have to use the correct honorific verb form to be polite when you're asking a visiting guru to come with you or to please sit down. There's a way to do that politely.",being very polite in the honorific register. We've,there's a whole different form if you're being very polite in the honorific register.,826190.0,830049.0
ɑ,honorific,Lauren,3,51,104,"I tweet and blog as @Superlinguo. Have you listened to all the Lingthusiasm episodes and you wish there were more? You can get access to 46 bonus episodes to listen to right now at patreon.com/lingthusiasm or follow the links from our website. Patrons also get access to our Discord chatroom where they can talk to other linguistics fans and other rewards as well as helping keep the show ad-free. Recent bonus topics include honorifics, a behind-the-scenes on writing Crash Course Linguistics and an AMA with lexicographer Emily Brewster. If you can't afford to pledge, that's okay, too. We really appreciate it if you can recommend Lingthusiasm to anyone who needs a little more linguistics in their lives.","ent bonus topics include honorifics, a behind-the-","rewards as well as helping keep the show ad-free. Recent bonus topics include honorifics, a",2430610.0,2435919.0
ɑ,honorific,Lauren,4,49,9,Our most recent bonus episode was about honorifics as a way of being polite to someone either through the title you choose or a variety of linguistic strategies., bonus episode was about honorifics as a way of be,L: Our most recent bonus episode was about honorifics as a way of being polite to someone,144440.0,151279.0
ɑ,honorific,Lauren,5,49,85,"I tweet and blog as Superlinguo. Have you listened to all the Lingthusiasm episodes and you wish there were more? You can access to 44 bonus episodes right now to listen to at patreon.com/lingthusiasm or follow the links from our website. Patron also get access to our Discord chatroom to talk with other linguistics fans and other rewards as well as helping to keep the show ad-free. Recent bonus topics include pangrams, honorifics, and linguistics with kids. If you can't afford to pledge, that's okay, too. We really appreciate it if you can recommend Lingthusiasm to anyone who needs a little more linguistics in their life, especially as it's the anniversary month.","topics include pangrams, honorifics, and linguisti","bonus topics include pangrams, honorifics, and linguistics with kids. If you can't",1972330.0,1977008.0
ɔ,bought,Gretchen,1,16,105,"It's so much fun. So I went to the dollar store, I bought a bunch of cheap toys, and then I took them apart and put them back together to make Frankentoys.","t to the dollar store, I bought a bunch of cheap t","went to the dollar store, I bought a bunch of cheap toys, and then I took",921350.0,924138.0
ɔ,bought,Gretchen,2,82,15,"Yes, that is definitely why my parents bought me this as a five-year-old. No, I think they just liked the moral, 'You can do more with persuasion than you can with force,' which was the last sentence in the illustrated Aesop's Fable version that I had as a child. But imagine my surprise when, many years later in linguistic school, I encountered this story as a classic example text.",efinitely why my parents bought me this as a five-,"G: Yes, that is definitely why my parents bought me this as a five-year-old.",167930.0,171119.0
ɔ,bought,Gretchen,3,20,21,"So, The Prodigal Tongue is about US versus UK Englishes or UK versus US Englishes, depending on which country you bought the edition in.",ing on which country you bought the edition in.,"versus US Englishes, depending on which country you bought",206920.0,209429.0
ɔ,bought,Gretchen,4,17,180,"It's like if I bought the apartment next door and I put half my stuff in one and half the stuff in the other and I was like, 'I'm just going to hang out in both of these!'",It's like if I bought the apartment next,houses in different neighbourhoods and kind of moves between them. G: It's like if I bought,1552570.0,1557629.0
ɔ,bought,Gretchen,5,11,103,"Yeah, like it's somehow relevant to cereal whether there's asbestos in it, whereas that is not an ingredient of cereal. Or, an example that I came across recently -- real, real-life example -- was I bought some cheese. Mozzarella cheese. And it told me on the outside that there was no gluten in it. Gluten-free cheese.",al-life example -- was I bought some cheese. Mozza,I bought some cheese. Mozzarella cheese. And it told me on the outside,1272630.0,1276019.0
ɔ,bought,Lauren,1,35,2,"And I'm Lauren Gawne. Today, we're getting enthusiastic about syllables! But first, Gretchen's book is out now. If you haven't bought it yet, you should buy a copy!"," out now. If you haven't bought it yet, you should","first, Gretchen's book is out now. If you haven't bought it yet, you should buy a",27800.0,32459.0
ɔ,bought,Lauren,2,17,104,Yes. So: 'I caught a cold' and 'I bought a cot.','I caught a cold' and 'I bought a cot.',"bought a cot.' G: Right! So, when I met Lauren, I was like, 'So you have this distinction",878750.0,882749.0
ɔ,bought,Lauren,3,8,54,"One time I was in Nepal and I spent a week watching a Rapid Words workshops, a dictionary workshop, happen. Which is that they got 40 speakers of Syuba, which is the language I work with at the moment, they bought them all to a single place together for two weeks. There's this very very elaborate semantic set that gets used and they were given all these worksheets and it was like 'right today name all the words in relation to house building, name all the words in relation to women's clothing'. So they have hundreds of semantic prompts.","with at the moment, they bought them all to a sing",bought them all to a single place,829029.0,831549.0
ɔ,bought,Lauren,4,5,41,"So it's not surprising that we we're talking about pink and orange and these later stage colours in English have really clear and relatively recent etymologies compared to something like red or green or white. I remember when I learned this stuff in undergrad a friend who I was doing this with was completely-- she just would not believe that you could cover brown, purple, and grey in one colour. She was just like how could you have one lexeme or one word that covers all of those three?? And then one day she came to class and she was so excited and was just like look look at the scarf that I bought! And it was true, you couldn't tell, in certain contexts it looked brown and some context it looked purple and in some contexts it looked grey and that was her, like, theoretical proof those colours were close enough that it made sense to put them in one lexeme.","look at the scarf that I bought! And it was true, ",and today we're going to be talking,17770.0,18848.0
ɔ,core,Gretchen,1,53,21,"Yeah. The 'emperor' is somebody who has the authority to give commands, and it's definitely the core function of the imperative is that commanding function. But when I think of imperatives, I think about a young adult novel that came out in 1997 called, Ella Enchanted.", and it's definitely the core function of the impe,"has the authority to give commands, and it's definitely the core function of the imperative",253990.0,258508.0
ɔ,core,Gretchen,2,53,97,"It sort of depends on how lumper and splitter-y you wanna get. If you wanna talk about first-person plural imperatives, if you wanna talk about something like, 'let's,' as an imperative or using other words like a hortative, it depends on what the grammar of a particular language is doing whether it makes sense to group it with the imperatives or not. Sometimes, like, 'Let's go,' or like, 'Let him go,' 'Let them eat cake' -- sometimes those are treated with the imperatives and sometimes they're not. But there's also a core set of imperatives of like, okay, well, what do you do if you're addressing one person, maybe a few people? And then there's all of the ancillary stuff around imperatives which is still just not that big of a space. I think it's one of those things where there's something about how humans organize their societies and their culture and their notions of self-hood and --", not. But there's also a core set of imperatives o,"a core set of imperatives of like, okay, well, what do you do if you're addressing one",1606440.0,1610339.0
ɔ,core,Gretchen,3,45,42,"The neat thing about doing this comparative reconstruction is that you need to figure out, okay, first of all, what do we know about the history of this word? Because the word 'copious' in English isn't gonna give us evidence for what was going on in the ancestor language of the Germanic languages because we know that it was borrowed from Latin much more recently. First of all, figuring out where all these words came from and then doing the comparison only with that bit of core vocabulary that did have all of the sound changes happen to it. The fun thing is that, as an English speaker, because we've borrowed so many words from other European languages at various times, is that we can often see these sound changes happen even within English. Even if you don't speak Latin, you can be like, 'Oh, I know the word 'cornucopia.'' You can see this happen within English as well because we've borrowed words at different time depths.",on only with that bit of core vocabulary that did ,the comparison only with that bit of core vocabulary that did have all of the sound,623730.0,629489.0
ɔ,core,Gretchen,4,29,160,"Yeah, 'transitivity' takes as a metaphor that a sentence goes across because this is from the Latin word 'to go across/to translate/to transport.' It goes across from the subject to the object. If you have a transitive sentence, it goes 'I see the book,' or a sentence that doesn't go across -- 'I slept.' That's a core metaphor when it comes to transitivity. It's just that this metaphor has a bit of a difficult time with the sentences that have zero hooks, and four hooks, and some of these further expansions beyond what the original grammatical tradition had. So we're looking at it with a different metaphor.",s -- 'I slept.' That's a core metaphor when it com,slept.' That's a core metaphor when it comes to transitivity. It's just that this,1489350.0,1495819.0
ɔ,core,Gretchen,5,9,88,"Yeah and we will link to more lists so if you think 'I want to test this' you know where to go. The core idea of a constituency test is you want to say 'I've got a sentence and I've got a couple words in this sentence' - so any individual word is going to be a constituent because you could say it by itself if you want so that's not very interesting - but if you've got two words or three words or five words, a string of words in the sentence and you want to say 'are these words functioning together as a unit or is there some break between them?'. And the whole sentence is also going to be a constituent but within a sentence you're going to have some groups of words that are more influenced by each other and some that aren't. And so what we're doing is saying 'okay here's a group of words that we're wondering about. Let's put it through a bunch of other contexts where we know that things that are units do act together and if this one does that too then it is a constituent, and if it doesn't do that too then it's not.",ou know where to go. The core idea of a constituen,want to test this'. The core idea of a,1116750.0,1119359.0
ɔ,core,Lauren,1,55,139,"Oh my gosh, this is a lot of very core English that I'm re-thinking for the first time.","h, this is a lot of very core English that I'm re-","'better' and 'best,' 'loss' and 'forlorn.' L: Oh my gosh, this is a lot of very core",2190880.0,2197999.0
ɔ,core,Lauren,2,54,70,"Part of why he gets cited a lot is because he's excellent. I'll talk about that. I think part of why as well is that Paṇini synthesized and brought together everything that had been happening in the Sanskrit grammar tradition. Sanskrit is kind of like the Indian linguistic area equivalent of Latin, which is that it was the language of sacred texts and religion. It's a language that is still handed down. People still learn Sanskrit in the way they learn Latin. But in that area, languages like Hindi and Nepali, the Indo-Aryan languages, are all later siblings and children of Sanskrit. It's a very convenient analogy to Latin to draw with Sanskrit. I think, also, the motivation for thinking a lot about the language came from a theological attempt within Hinduism to understand truth through language and understand how language works. It was one of the core areas of study within the larger religious tradition. So, that was the motivation. But Paṇini -- we know his name. We know not too much else about him except that he wrote at least two-and-a-half thousand years ago. He synthesized this work, and he name drops ten other people whose work he draws on. We've lost the record of all of their work. I think he's excellent. That's not in dispute. But it's also just a convenient prominence he receives through being the kind of earliest record we have when the work was going on for thousands of years behand.",works. It was one of the core areas of study withi,understand how language works. It was one of the core areas of study within,1382880.0,1387759.0
ɔ,wrong,Gretchen,1,14,64,"Yeah. So this is wrong on both counts. And this is what C- Gel points out. First of all, like, lots of stuff goes before nouns or pronouns! This is a wholly insufficient definition!",Yeah. So this is wrong on both counts. And,So this is wrong on both counts.,770489.0,771679.0
ɔ,wrong,Gretchen,2,12,130,"Yeah, same, we get so much American media. But the Canadian accent that people get exposed to is a very stereotyped idea of it, so that's why sometimes when you're trying to put on an accent it can sound really good to people who aren't from that place, people who are from that place are like, 'No, you're doing these four things wrong.'", doing these four things wrong.',these four things wrong.',1342350.0,1343349.0
ɔ,wrong,Gretchen,3,7,95,"I mean, to be honest I actually don't think we're being pedantic enough about 'literally', because it literally means pertaining to a letter, and so if you're not using literal to mean pertaining to the alphabet I think you're using it wrong.", I think you're using it wrong.,alphabet I think you're using it wrong,1211609.0,1213648.0
ɔ,wrong,Gretchen,4,2,21,"Yes, and 'you' also means you the listener, you plural. But when *I* say 'I', I means me Gretchen and not you Lauren, because you're a different person. And the thing is, you can see little kids get this wrong! Like they'll refer to themselves as 'you' because that's what everyone else calls them, and they have to figure out that no, mommy is 'you' and daddy is 'you' and the dog is 'you' but I am 'I'.",see little kids get this wrong! Like they'll refer,little kids get this wrong like they'll,284690.0,286669.0
ɔ,wrong,Gretchen,5,2,47,"Yeah I think that was one of the things that surprised me is I found that sometimes I would use the pronouns inconsistently and I thought that I was doing something wrong as a non-native speaker of French, that I was using 'vous' and 'tu' at the same person sometimes, and yet it turns out that that's something a lot of people do and to try to negotiate that. I thought because the textbooks give you a model of 'Okay we have to have this dialogue where we officially say 'Shall we now 'tu' each other?'' and that's not a dialogue I've actually had very often.",at I was doing something wrong as a non-native spe,doing something wrong as a non-native,718040.0,719119.0
ɔ,wrong,Lauren,1,20,110,"I mean, I was definitely overtly educated to make sure I said 'zed' because 'zee' was wrong and American, and those two things were directly correlated."," 'zed' because 'zee' was wrong and American, and t","'zed' because 'zee' was wrong and American, and",1291190.0,1294319.0
ɔ,wrong,Lauren,2,1,112,so both of them are the wrong thing.,so both of them are the wrong thing.,L: so both of them are the wrong thing.,1661960.0,1663789.0
ɔ,wrong,Lauren,3,55,5,I don't know what's wrong with talking about '/a/-like' sounds.,I don't know what's wrong with talking about ,L: I don't know what's wrong with talking about '/a/-like' sounds.,75040.0,79039.0
ɔ,wrong,Lauren,4,67,31,She's the wrong kind of bilingual.,She's the wrong kind of bilingual.,L: She's the wrong kind of bilingual. G: Mm-hmm. In the official Canadian policy sense,660720.0,666239.0
ɔ,wrong,Lauren,5,49,76,"This has been such a difficult story to read because everyone throughout this process has acted in the best faith. This teenager wasn't doing this for any reason other than a passion for sharing knowledge on Wikipedia and a passion for seeing the Scots Wikipedia grow but with a really uncritical approach to translation. You can see where translation really does require this understanding of vocabulary choice and style choice and how it can all go really, really wrong.","an all go really, really wrong.","it can all go really, really wrong. G: Yeah, it's really painful because this",1624110.0,1628658.0
ə,among,Gretchen,1,38,132,"So, if 'either' does it, 'neither' also does it. Some people insist on a plural/dual distinction between 'between' and 'among.' Whereas, other people don't have this distinction.","n between 'between' and 'among.' Whereas, other pe",between between and among whereas other,1412840.0,1415059.0
ə,among,Gretchen,2,73,117,"Sometimes, you also get people trying to reclaim it in the other direction by saying, 'Everybody has a dialect.' The standard dialect or prestige dialect is also just one dialect among many that isn't inherently better. It's just based on the associations people have made. Sometimes, you can try to reclaim 'dialect' in the other direction. But I mean, also, you get 'variety' used a lot to try to say, 'Look, there can be lots of varieties for lots of different reasons,' sometimes geographic and sometimes for other social reasons or other types of groups.",is also just one dialect among many that isn't inh,or prestige dialect is also just one dialect among many that isn't inherently better. It's,1623360.0,1628159.0
ə,among,Gretchen,3,52,75,"There are several different systems in place. Some of them are language-specific like, 'Oh, this is the system for writing ASL in particular,' and some of them are kind of like your linguist, International Phonetic Alphabet trying to provide a language-agnostic way of writing signed languages for research purposes but, in a way, that's sort of impractical, like the IPA for general use. There's an interesting set of systems. There isn't as much agreement among representers of signed languages in writing which amounts of information are crucial information that has to be written down and which are optional bits of information that the reader can fill in from their own knowledge of the language and the signer.", isn't as much agreement among representers of sig,interesting set of systems. There isn't as much agreement among representers of signed,1752909.0,1758918.0
